ts	phase	decision	why	evidence	result
2026-09-05T13:17:52Z	boot	day-0 failed NVIDIA MIXED_PRECISION on mtp.layers.48 w2_weight_scale_inv	same AttributeError as h0. digest-pin nightly-aarch64@df871f17 and retarget PLE to qwen4_exp	evidence/opt-c1-nvidia-modelopt-fab0aec/boot-fail-day0/needles.txt	boot failed, retry nightly
2026-09-05T13:30:23Z	boot	nightly-aarch64@df871f17 failed mtp.layers.48 w2_weight_scale_inv	LINEAR_ALGOS still has no FP8_BLOCK_SCALES. Overlay remaps mtp.layers.48 to mtp.layers.0 and dispatches Fp8MoEMethod block 128.	evidence/opt-c1-nvidia-modelopt-fab0aec/boot-fail-nightly/needles.txt	boot failed, apply c3 overlay
2026-09-05T13:51:02Z	keep	kept NVIDIA fab0aec on nightly-aarch64@df871f17 plus docker/modelopt.py	prose and TTFT improved. Quality smokes pass. Structured c=2 slower from FP8 MTP acceptance under concurrency.	evidence/opt-c1-nvidia-modelopt-fab0aec/bench.txt.summary.json	kept
2026-09-05T14:09:12Z	frame	start c2 nightly-aarch64 e962733 without VLLM_PLE_FP8_CHECKPOINT	c1 already kept this digest; remaining work is stock PLE without the unknown env	/home/sfxnz/projects/ai-lab/recipes/Qwen3.8-Flash-Next-NVFP4-vLLM-2x-DGX-Spark/evidence/opt-c2-nightly-aarch64-e962733/image-labels.txt	pre-swap health 200
2026-09-05T14:25:18Z	boot	health 200 without VLLM_PLE_FP8_CHECKPOINT	stock MIXED_PRECISION FP8 PLE; env not passed; no unknown-env warning	evidence/opt-c2-nightly-aarch64-e962733/ple-gate-check.txt	quantization=modelopt_mixed
2026-09-05T14:25:18Z	keep	kept nightly-aarch64 e962733 without VLLM_PLE_FP8_CHECKPOINT	official-vendor pin. Quality smokes pass. Decode within noise of c1. Occupancy held.	evidence/opt-c2-nightly-aarch64-e962733/bench.txt.summary.json	kept
2026-09-05T15:00:25Z	revert	reverted c3 MTP FP8 overlay recapture to last kept pin c2	skeptic rejected. c3 had no recipe delta versus 60bc4af. Overlay stays as the c1 keep. Live serve already c2 so no reboot.	evidence/opt-c3-mtp-fp8-block-scales-overlay/pin-diff-vs-c2.txt evidence/opt-c3-mtp-fp8-block-scales-overlay/restore-health.code	reverted. restore-health 200 nvidia id pin_diff=empty
2026-09-05T15:07:11Z	frame	start c4 native 262144 without ALLOW_LONG	NVIDIA sample is --max-model-len 262144. 1M is a lab ceiling. Last kept pin is c2 at 1048576 ALLOW=1.	evidence/opt-c4-native-ctx-262144/pre-swap-health.txt	pre-swap health 200 nvidia id max_model_len=1048576
2026-09-05T15:07:43Z	boot	started native 262144 reboot without ALLOW_LONG	one knob after NVIDIA pin holds. KV pool and graph capture may change.	evidence/opt-c4-native-ctx-262144/boot-started-at.txt	boot running
2026-09-05T15:20:55Z	boot	health 200 at native 262144 without ALLOW_LONG	vLLM accepted max_seq_len=262144 with VLLM_ALLOW_LONG_MAX_MODEL_LEN=0	evidence/opt-c4-native-ctx-262144/run.log	health 200 nvidia id max_model_len=262144
2026-09-05T15:24:51Z	keep	kept native 262144 without ALLOW_LONG	official-vendor window. prose improved. quality smokes pass. seqs=8 no drop. TTFT inside c2 noise.	evidence/opt-c4-native-ctx-262144/bench.txt.summary.json	kept. prose 43.16/36.22 ttft 0.17/0.16 prose_c8=24.39 n=24
